method,resolution,h,num_cells,num_dofs,solve_seconds,velocity_l2_error,velocity_h1_error,pressure_l2_error,divergence_l2,velocity_l2_rate,velocity_h1_rate,pressure_l2_rate,divergence_l2_rate
taylor_hood,4,0.25,384,2312,0.06482800003141165,0.1752121637152329,3.3986944901297216,0.06736802294690115,3.1787372766808617,,,,
taylor_hood,6,0.16666666666666666,1296,6934,0.4397184168919921,0.04279423917407298,1.4527341100877809,0.027703036458519244,1.3935566319731647,3.476486831322414,2.0962198554213987,2.1916274025831117,2.033775068259262
taylor_hood,8,0.125,3072,15468,2.867085708072409,0.013186686702106432,0.6691236676240195,0.014831084133922236,0.6427673942926561,4.092002491858151,2.6947586583418315,2.17190026377285,2.689884606009647
taylor_hood,10,0.1,6000,29114,11.308914708904922,0.00526386179805045,0.3553079841516874,0.00923766703234386,0.34124521882200265,4.115479889690227,2.836666887345293,2.1216651196099834,2.837552636975785
taylor_hood,12,0.08333333333333333,10368,49072,31.46511112502776,0.002498116305446401,0.2099946356626627,0.006312558144591822,0.2015180510305429,4.087985987884587,2.884480571977607,2.0883343100423053,2.888974755550924
usfem_p1dg0,4,0.25,384,759,0.016072791069746017,0.11773862957183975,1.030307648994954,0.24955016219625376,0.18564169735003153,,,,
usfem_p1dg0,6,0.16666666666666666,1296,2325,0.12515366706065834,0.06986444783288806,0.7134993637671585,0.1571859922969515,0.24395333840512975,1.2871890786507076,0.9061967908275792,1.1399998868657095,-0.6736917873640456
usfem_p1dg0,8,0.125,3072,5259,0.6435224171727896,0.0420695060301396,0.5178736044507675,0.10256927377838916,0.22300066273790103,1.7631746911400936,1.1139044461318734,1.4838997537113816,0.31215788603309125
usfem_p1dg0,10,0.1,6000,9993,2.540052792057395,0.027829045041033652,0.40283918627102894,0.07505766430880915,0.18911845005210118,1.8519150230660344,1.1257047911822549,1.3994656562282377,0.7385434344787565
usfem_p1dg0,12,0.08333333333333333,10368,16959,8.773732792120427,0.019678712093481966,0.3283978860526788,0.0589430838664957,0.16071686553583112,1.9007232054844831,1.120610771121756,1.3255940863172733,0.8925402118617332
usfem_p1dg1,4,0.25,384,1911,0.04629145795479417,0.08570022207470564,0.8508973751894892,0.06045371910834405,0.21258744568262347,,,,
usfem_p1dg1,6,0.16666666666666666,1296,6213,0.7593042920343578,0.046235340282889135,0.594771512676967,0.0326792222430187,0.21497937132549902,1.5219829220960501,0.883218312641229,1.5171185289267055,-0.02759463925476662
usfem_p1dg1,8,0.125,3072,14475,5.585403166944161,0.02792270317440688,0.45090515546407617,0.022899838480944994,0.18727915983504984,1.752991942752223,0.9625914400757372,1.2361201732286984,0.4794936924516481
usfem_p1dg1,10,0.1,6000,27993,20.983769833110273,0.018483756915695027,0.36137605589948524,0.01770481433015071,0.16071493423382913,1.848799786011917,0.991908103779567,1.1530391854788808,0.6855144830331266
usfem_p1dg1,12,0.08333333333333333,10368,48063,76.12609420903027,0.013068876285200889,0.30090865579397086,0.014405382574948672,0.1392093861354233,1.9013593381942964,1.0043374786641968,1.1311590116326755,0.7879102645512176
