model,vug_area_fraction_requested,vug_area_fraction_mesh,radius_mm,num_triangles,Keff_m2,Keff_mD,Keff_over_Krock,flow_rate_m2_per_s,vug_drag_pa_s_per_m2,darcy_darcy_vug_permeability_m2,solve_seconds,xdmf
darcy_brinkman,0.0,0.0,0.0,11696,1.9738466000000013e-13,200.00000000000014,1.0000000000000007,1.9738466000000013e-10,0.0,,2.8875782499089837,notebooks/outputs/53_mwe_body_fitted_2d_centered_vug_upscaling/paraview/darcy_brinkman_vug_fraction_0p00.xdmf
darcy_darcy,0.0,0.0,0.0,11696,1.9738465999999723e-13,199.9999999999972,0.9999999999999859,1.9738465999999726e-10,100000.0,1e-08,2.7984557920135558,notebooks/outputs/53_mwe_body_fitted_2d_centered_vug_upscaling/paraview/darcy_darcy_vug_fraction_0p00.xdmf
darcy_brinkman,0.01,0.009902950441978246,0.42314218766081724,12030,2.0134328968415386e-13,204.01108139219514,1.0200554069609757,2.0134328968415385e-10,0.0,,2.7755508748814464,notebooks/outputs/53_mwe_body_fitted_2d_centered_vug_upscaling/paraview/darcy_brinkman_vug_fraction_0p01.xdmf
darcy_darcy,0.01,0.009902950441978246,0.42314218766081724,12030,2.013578084192197e-13,204.0257925000045,1.0201289625000225,2.013578084192197e-10,100000.0,1e-08,2.9705403330735862,notebooks/outputs/53_mwe_body_fitted_2d_centered_vug_upscaling/paraview/darcy_darcy_vug_fraction_0p01.xdmf
darcy_brinkman,0.05,0.04989880363306682,0.94617469575756,11912,2.1812457734360737e-13,221.0147205396887,1.1050736026984436,2.1812457734360738e-10,0.0,,2.682053708937019,notebooks/outputs/53_mwe_body_fitted_2d_centered_vug_upscaling/paraview/darcy_brinkman_vug_fraction_0p05.xdmf
darcy_darcy,0.05,0.04989880363306682,0.94617469575756,11912,2.1814324371898163e-13,221.0336342438988,1.105168171219494,2.1814324371898161e-10,100000.0,1e-08,2.692721791099757,notebooks/outputs/53_mwe_body_fitted_2d_centered_vug_upscaling/paraview/darcy_darcy_vug_fraction_0p05.xdmf
darcy_brinkman,0.1,0.09989722332485289,1.3380930871145782,11878,2.412049332216437e-13,244.40089034441047,1.2220044517220523,2.412049332216437e-10,0.0,,3.047937124967575,notebooks/outputs/53_mwe_body_fitted_2d_centered_vug_upscaling/paraview/darcy_brinkman_vug_fraction_0p10.xdmf
darcy_darcy,0.1,0.09989722332485289,1.3380930871145782,11878,2.4122544408544907e-13,244.42167297646034,1.2221083648823017,2.412254440854491e-10,100000.0,1e-08,3.0333720420021564,notebooks/outputs/53_mwe_body_fitted_2d_centered_vug_upscaling/paraview/darcy_darcy_vug_fraction_0p10.xdmf
darcy_brinkman,0.2,0.19989695795753498,1.89234939151512,11924,2.960791840784202e-13,300.0022231498843,1.5000111157494214,2.9607918407842015e-10,0.0,,2.9206487080082297,notebooks/outputs/53_mwe_body_fitted_2d_centered_vug_upscaling/paraview/darcy_brinkman_vug_fraction_0p20.xdmf
darcy_darcy,0.2,0.19989695795753498,1.89234939151512,11924,2.9610368075052713e-13,300.0270444020595,1.5001352220102977,2.9610368075052707e-10,100000.0,1e-08,2.912621333030984,notebooks/outputs/53_mwe_body_fitted_2d_centered_vug_upscaling/paraview/darcy_darcy_vug_fraction_0p20.xdmf
darcy_brinkman,0.4,0.3998959024952287,2.6761861742291564,11856,4.639395263906222e-13,470.0867092616237,2.3504335463081185,4.6393952639062224e-10,0.0,,2.9698464579414576,notebooks/outputs/53_mwe_body_fitted_2d_centered_vug_upscaling/paraview/darcy_brinkman_vug_fraction_0p40.xdmf
darcy_darcy,0.4,0.3998959024952287,2.6761861742291564,11856,4.639775880023497e-13,470.1252751884059,2.3506263759420296,4.6397758800234967e-10,100000.0,1e-08,2.99141399981454,notebooks/outputs/53_mwe_body_fitted_2d_centered_vug_upscaling/paraview/darcy_darcy_vug_fraction_0p40.xdmf
darcy_brinkman,0.6,0.599896183120891,3.277645291776237,11890,8.56685201400266e-13,868.036251044297,4.340181255221485,8.56685201400266e-10,0.0,,2.445680500008166,notebooks/outputs/53_mwe_body_fitted_2d_centered_vug_upscaling/paraview/darcy_brinkman_vug_fraction_0p60.xdmf
darcy_darcy,0.6,0.599896183120891,3.277645291776237,11890,8.567714863358874e-13,868.1236792523669,4.340618396261834,8.567714863358873e-10,100000.0,1e-08,2.477984624914825,notebooks/outputs/53_mwe_body_fitted_2d_centered_vug_upscaling/paraview/darcy_darcy_vug_fraction_0p60.xdmf
darcy_brinkman,0.7,0.6998955644164507,3.540261539559861,11820,1.46610362837415e-12,1485.5294513506265,7.427647256753133,1.46610362837415e-09,0.0,,2.507629708154127,notebooks/outputs/53_mwe_body_fitted_2d_centered_vug_upscaling/paraview/darcy_brinkman_vug_fraction_0p70.xdmf
darcy_darcy,0.7,0.6998955644164507,3.540261539559861,11820,1.4663402910561027e-12,1485.769249805028,7.42884624902514,1.4663402910561028e-09,100000.0,1e-08,2.531553416978568,notebooks/outputs/53_mwe_body_fitted_2d_centered_vug_upscaling/paraview/darcy_darcy_vug_fraction_0p70.xdmf
