method,resolution,num_cells,analytic_vug_fraction,represented_vug_fraction,sphere_radius,flow_rate,effective_permeability,matrix_permeability,effective_permeability_over_matrix,usfem_vs_taylor_hood_difference_percent,solve_seconds
taylor_hood,16,4660,0.0,0.0,0.0,1.9999999983015525e-07,9.999999991507763e-10,1e-09,0.9999999991507763,6.269737467310434e-08,11.750889332965016
usfem_p1dg1,16,4660,0.0,0.0,0.0,1.9999999995555e-07,9.9999999977775e-10,1e-09,0.99999999977775,6.269737467310434e-08,15.582193084061146
taylor_hood,16,4905,0.01,0.00828070107559831,0.13365046175719758,2.0640622572514316e-07,1.0320311286257158e-09,1e-09,1.0320311286257158,1.5115198118255162,14.275294290855527
usfem_p1dg1,16,4905,0.01,0.00828070107559831,0.13365046175719758,2.0328635473046634e-07,1.0164317736523316e-09,1e-09,1.0164317736523316,1.5115198118255162,18.658239250071347
taylor_hood,16,4877,0.05000000000000002,0.046572844799890406,0.22853907486704164,2.3212501290062918e-07,1.1606250645031459e-09,1e-09,1.1606250645031457,2.1209766127998573,14.903904709033668
usfem_p1dg1,16,4877,0.05000000000000002,0.046572844799890406,0.22853907486704164,2.2720169566454817e-07,1.136008478322741e-09,1e-09,1.1360084783227409,2.1209766127998573,16.369194333208725
taylor_hood,16,4945,0.09999999999999999,0.09564271135279555,0.2879411911484861,2.6765397933321575e-07,1.3382698966660787e-09,1e-09,1.3382698966660787,2.3463024602157483,12.874626540811732
usfem_p1dg1,16,4945,0.09999999999999999,0.09564271135279555,0.2879411911484861,2.613740074312551e-07,1.3068700371562757e-09,1e-09,1.3068700371562756,2.3463024602157483,16.58597379201092
taylor_hood,16,4948,0.20000000000000004,0.19429882766586473,0.362783167859781,3.5315898250844157e-07,1.7657949125422078e-09,1e-09,1.7657949125422077,2.307727636467276,13.156035125022754
usfem_p1dg1,16,4948,0.20000000000000004,0.19429882766586473,0.362783167859781,3.450090350684276e-07,1.725045175342138e-09,1e-09,1.725045175342138,2.307727636467276,16.85602245782502
taylor_hood,16,5373,0.2999999999999999,0.29373918669391946,0.41528305920770736,4.697597725819219e-07,2.3487988629096098e-09,1e-09,2.3487988629096095,2.2894813884093224,15.064574915915728
usfem_p1dg1,16,5373,0.2999999999999999,0.29373918669391946,0.41528305920770736,4.590047100184249e-07,2.2950235500921244e-09,1e-09,2.2950235500921243,2.2894813884093224,17.431361417053267
taylor_hood,16,5409,0.40000000000000013,0.3927969928243167,0.4570781497340833,6.548395669482318e-07,3.274197834741159e-09,1e-09,3.274197834741159,2.1787029892148615,13.728093500016257
usfem_p1dg1,16,5409,0.40000000000000013,0.3927969928243167,0.4570781497340833,6.405725577285691e-07,3.2028627886428452e-09,1e-09,3.202862788642845,2.1787029892148615,17.918892917223275
