case,match_status,reference_pore_pair,native_full_pore_pair,min_native_overlap_fraction,min_reference_overlap_fraction,native_throat_index,native_radius_vx,native_area_vx2,native_shape_factor,native_shape_factor_raw,native_length_vx,native_core_length_vx,native_pore1_length_vx,native_pore2_length_vx,native_equivalent_conductance_mu1,reference_throat_index,reference_radius_vx,reference_area_vx2,reference_shape_factor,reference_shape_factor_raw,reference_length_vx,reference_core_length_vx,reference_pore1_length_vx,reference_pore2_length_vx,reference_equivalent_conductance_mu1,radius_vx_rel_diff,radius_vx_signed_ratio,area_vx2_rel_diff,area_vx2_signed_ratio,shape_factor_rel_diff,shape_factor_signed_ratio,length_vx_rel_diff,length_vx_signed_ratio,core_length_vx_rel_diff,core_length_vx_signed_ratio,pore1_length_vx_rel_diff,pore1_length_vx_signed_ratio,pore2_length_vx_rel_diff,pore2_length_vx_signed_ratio,equivalent_conductance_mu1_rel_diff,equivalent_conductance_mu1_signed_ratio
phi032_b14,native_only,16-58,0-2,0.6081871345029239,0.8,0.0,0.5,1.0,0.0625,0.0625,7.89473716980702,2.6052632660363164,3.481702654414193,1.8077712493565106,1.0384236001790122e-16,,,,,,,,,,,,,,,,,,,,,,,,,,
phi032_b14,matched,8-16,0-3,0.6081871345029239,0.2276422764227642,1.0,0.5,3.0,0.020833333333333332,0.020833333333333332,18.587480865225892,6.133868685524544,8.61992978936174,3.8336823903396064,1.4240221619220956e-16,18.0,0.49903115000000003,4.226215052861993,0.01473139,0.01473139,16.221425000000004,5.353070000000001,5.49929,5.369065,2.2142662456950199e-16,0.0019376999999999311,1.0019414619708609,0.29014497310817156,0.7098550268918284,0.2928932799999999,1.4142136847462006,0.12729298189365662,1.1458599269315666,0.12729302265096873,1.145859980445715,0.3620261261539586,1.5674623068362896,0.2859683407931164,0.7140316592068836,0.35688756278036493,0.6431124372196351
phi032_b14,matched,8-16,0-6,0.6081871345029239,0.6585365853658537,2.0,0.5,2.0,0.03125,0.03125,19.341159608542483,6.382582670819019,10.04732863673641,2.911248300987053,9.224503486254981e-17,18.0,0.49903115000000003,4.226215052861993,0.01473139,0.01473139,16.221425000000004,5.353070000000001,5.49929,5.369065,2.2142662456950199e-16,0.0019376999999999311,1.0019414619708609,0.5267633154054477,0.47323668459455226,0.52859552,2.121320527119301,0.16130028766034146,1.192321858809721,0.16130032682943854,1.1923219144937425,0.45266147860509426,1.827022876905275,0.45777369039356886,0.5422263096064311,0.5834058571687449,0.4165941428312551
phi032_b14,native_only,10-16,0-8,0.6081871345029239,0.8,3.0,0.5,2.0,0.03125,0.03125,7.083106483342961,2.337425139503177,2.792289478391379,1.9533918654484053,2.429985712597788e-16,,,,,,,,,,,,,,,,,,,,,,,,,,
phi032_b14,matched,13-16,0-11,0.6081871345029239,0.8,4.0,0.5,3.0,0.020833333333333332,0.020833333333333332,7.984734399625064,2.6349623518762715,3.310934415665257,2.038837632083536,3.127861202778179e-16,19.0,0.4983312,2.221166663030283,0.02795085,0.02795085,6.809611,2.2471715,2.7628625,1.7995770000000002,2.563464722591944e-16,0.0033376000000000516,1.0033487768777072,0.259611112323239,1.3506415569497041,0.25464401500014017,0.7453559849998599,0.14717125715292967,1.172568359576643,0.14717130648949814,1.1725684274103119,0.16553390881804408,1.1983710429546373,0.11735148906341791,1.132953817526861,0.18044166399868883,1.220169396212938
phi032_b14,matched,16-31,0-28,0.5955882352941176,0.8,5.0,0.5,5.0,0.0125,0.0125,11.952688773957611,3.944387295406011,4.92629419595151,3.0820072826000913,3.6080246804250286e-16,20.0,0.7364235,1.703747181258194,0.07957747154594767,0.079,8.926292499999999,2.9456765000000003,4.351134500000001,1.6294815,2.9760175895389705e-16,0.32104285102254343,0.6789571489774566,0.6592505637483612,2.934707716615307,0.8429203673205103,0.15707963267948966,0.2531979482768339,1.3390429199981528,0.2531979546149536,1.3390429313626295,0.1167530141468576,1.132186145004598,0.471292131852034,1.8914036658900952,0.17516706421520573,1.2123667189023455
phi032_b14,matched,6-22,1-18,0.5112107623318386,0.5728643216080402,6.0,0.5,6.0,0.010416666666666666,0.010416666666666666,13.890395263716746,4.583830437026525,6.364654411670756,2.941910415019465,3.2458899892816423e-16,110.0,0.49624415,0.98503302563689,0.0625,0.0625,13.245971,4.3711705,4.744625500000001,4.130175,5.88947114140089e-17,0.00751170000000001,1.0075685526972964,0.8358278290605184,6.0911663303071455,0.8333333333333334,0.16666666666666666,0.046393515193916254,1.0486505869382279,0.04639349992284512,1.048650570145119,0.2545352515448657,1.3414450543400644,0.2877032050652903,0.7122967949347098,0.8185560459273511,5.511343737579744
phi032_b14,matched,6-30,1-26,0.6228070175438597,0.4011299435028249,7.0,0.5,2.0,0.03125,0.03125,12.410024774254472,4.095308175503976,6.506945349393985,1.8077712493565112,1.3792296020928008e-16,77.0,0.49858575,3.297889009595691,0.01884446,0.01884446,10.833333000000001,3.575,4.8434930000000005,2.4148400000000003,2.3886649513971517e-16,0.0028285000000000116,1.0028365231056042,0.3935514524046421,0.6064485475953578,0.39697728,1.658312310355404,0.127049849048282,1.145540783640129,0.12704982218827665,1.1455407483927205,0.25564258804615714,1.3434406428158323,0.25139087916528174,0.7486091208347182,0.42259394676257256,0.5774060532374274
phi032_b14,native_only,6-32,1-29,0.7790697674418605,0.9859154929577464,8.0,0.5,1.0,0.0625,0.0625,13.185119750523892,4.351089517672885,6.071549463687173,2.7624807691638322,6.125274826423881e-17,,,,,,,,,,,,,,,,,,,,,,,,,,
phi032_b14,matched,6-36,1-33,0.7790697674418605,0.9523809523809524,9.0,0.5,2.0,0.03125,0.03125,13.036950079479265,4.302193526228157,6.12088913312437,2.6138674201267373,1.2973955274541995e-16,174.0,0.49634980000000006,1.9709049916803205,0.03125,0.03125,12.2581255,4.0451815,5.451555,2.761389,1.3277345739318272e-16,0.007300399999999874,1.007354087782447,0.014547504159839741,1.0147622581720057,0.0,1.0,0.05973978382452879,1.0635353732900894,0.059739764067165524,1.0635353509423884,0.10935243533527503,1.1227785710910685,0.053422962093809506,0.9465770379061905,0.02285023458249227,0.9771497654175078
