case,seed_used,shape,porosity,blobiness,phi_image,phi_abs,phi_eff,Np,Nt,k_voids,k_xlb,k_rel_diff,k_ratio_voids_to_xlb,xlb_steps,xlb_converged,xlb_convergence_metric,xlb_formulation,xlb_mach_max,xlb_re_voxel_max
phi028_b12,101,"(24, 24, 24)",0.28,1.2,0.28002025462962965,0.2800202546296297,0.2800202546296297,13,23,3.0124200755937304e-15,1.5628703999123877e-14,0.8072508075037699,0.19274919249623015,450,True,0.0006830585300081014,incompressible_navier_stokes,0.0001635549966894573,0.0009442851967114156
phi028_b14,135,"(24, 24, 24)",0.28,1.4,0.28002025462962965,0.2793692129629629,0.2793692129629629,37,75,1.658164427045787e-15,2.1740266045059896e-14,0.9237284206362056,0.07627157936379424,400,True,0.0008664518974365104,incompressible_navier_stokes,0.00018289530136310594,0.001055946495802697
phi028_b15,155,"(24, 24, 24)",0.28,1.5,0.28002025462962965,0.2795862268518518,0.2795862268518518,35,75,1.2297567170886416e-14,2.1980640304427658e-14,0.44052734585674186,0.5594726541432582,400,True,0.0008328108831135827,incompressible_navier_stokes,0.00015733721351752908,0.0009083868094749733
phi032_b12,271,"(24, 24, 24)",0.32,1.2,0.32002314814814814,0.32002314814814814,0.32002314814814814,9,11,1.2660099224145675e-14,2.530576768867505e-14,0.49971487212334686,0.5002851278766531,2750,True,0.0009322604507599869,incompressible_navier_stokes,0.00019597364193608459,0.001131454328951093
phi032_b14,305,"(24, 24, 24)",0.32,1.4,0.32002314814814814,0.31857638888888895,0.31857638888888895,32,78,7.766887042604934e-15,3.215961097635889e-14,0.7584893968924403,0.24151060310755973,1250,True,0.0009151773469869792,incompressible_navier_stokes,0.00018976887423540452,0.0010956310865715896
phi032_b15,322,"(24, 24, 24)",0.32,1.5,0.32002314814814814,0.3192997685185186,0.3192997685185186,15,30,2.875984261500742e-14,2.6903966882775705e-14,0.06453010738185631,1.0689814903622958,1100,True,0.0009973687683614,incompressible_navier_stokes,0.00012479221828687765,0.0007204881952755043
phi036_b12,441,"(24, 24, 24)",0.36,1.2,0.3600260416666667,0.36002604166666663,0.36002604166666663,16,41,1.7420550728810382e-14,4.264526962573852e-14,0.5915009828359433,0.4084990171640566,1050,True,0.0009476317897275022,incompressible_navier_stokes,0.0001466977534980646,0.0008469598595147777
phi036_b14,475,"(24, 24, 24)",0.36,1.4,0.3600260416666667,0.3600260416666667,0.3600260416666667,7,9,2.537632025927626e-14,3.4821878561764334e-14,0.2712535535879915,0.7287464464120085,2300,True,0.0008064792986008763,incompressible_navier_stokes,0.00012361992356673125,0.0007137199486745213
phi036_b15,492,"(24, 24, 24)",0.36,1.5,0.3600260416666667,0.3600260416666667,0.3600260416666667,7,13,2.2842599127924628e-14,3.73268746525131e-14,0.38803879669613034,0.6119612033038696,450,True,0.0009179886581178395,incompressible_navier_stokes,0.0001428925040952218,0.0008249902422384439
phi040_b12,611,"(24, 24, 24)",0.4,1.2,0.4000289351851852,0.40002893518518523,0.40002893518518523,25,65,7.98341414884198e-14,4.78878160285607e-14,0.4001586898068293,1.6671075883019186,1850,True,0.0009771059089408644,incompressible_navier_stokes,0.0001365688646069317,0.0007884806932855014
phi040_b14,645,"(24, 24, 24)",0.4,1.4,0.4000289351851852,0.40002893518518523,0.40002893518518523,11,26,1.226298122869176e-14,4.983266495293628e-14,0.7539168085778004,0.24608319142219967,2250,True,0.0009645918509452331,incompressible_navier_stokes,0.00011880740385822926,0.0006859348536813746
phi040_b15,662,"(24, 24, 24)",0.4,1.5,0.4000289351851852,0.40046296296296297,0.40046296296296297,19,48,4.609460749386923e-14,4.612321752781911e-14,0.0006202957096960452,0.999379704290304,500,True,0.0007629596130735479,incompressible_navier_stokes,0.0001328687096135407,0.0007671178388541505
phi044_b12,781,"(24, 24, 24)",0.44,1.2,0.4400318287037037,0.44046585648148157,0.44046585648148157,35,103,1.1513481593993626e-13,6.045885042491962e-14,0.4748864630446806,1.904350068364525,2300,True,0.0009916679834441667,incompressible_navier_stokes,0.00010482592813492028,0.0006052127674049867
phi044_b14,815,"(24, 24, 24)",0.44,1.4,0.4400318287037037,0.4382957175925926,0.4382957175925926,27,75,1.5227019113504962e-13,6.444345202183439e-14,0.5767822215138682,2.362849697801077,400,True,0.00012840999577471335,incompressible_navier_stokes,0.00013544699037723883,0.0007820035495166539
phi044_b15,832,"(24, 24, 24)",0.44,1.5,0.4400318287037037,0.4400318287037037,0.4400318287037037,22,55,9.213141042781442e-16,6.947568899376839e-14,0.986739043288066,0.013260956711933888,400,True,0.0009183935037701377,incompressible_navier_stokes,0.00012821834047797783,0.0007402689206135577
