case,seed_used,shape,porosity,blobiness,phi_image,phi_abs,phi_eff,Np,Nt,k_voids,k_xlb_stokes,k_rel_diff_stokes,k_ratio_voids_to_stokes,xlb_steps_stokes,xlb_converged_stokes,xlb_convergence_metric_stokes,xlb_mach_max_stokes,xlb_re_voxel_max_stokes
phi028_b12,101,"(24, 24, 24)",0.28,1.2,0.28002025462962965,0.2800202546296297,0.2800202546296297,13,23,1.1610606766540036e-14,1.564938664425385e-14,0.2580791164231842,0.7419208835768158,800,True,0.00019600464529232953,3.244222878460394e-05,0.00018730529185722626
phi028_b14,135,"(24, 24, 24)",0.28,1.4,0.28002025462962965,0.2793692129629629,0.2793692129629629,37,75,1.597937035433368e-14,2.1590649248131745e-14,0.2598939397009385,0.7401060602990615,1100,True,0.00011273807806103755,3.6426448778850676e-05,0.00021030819630625525
phi028_b15,155,"(24, 24, 24)",0.28,1.5,0.28002025462962965,0.2795862268518518,0.2795862268518518,35,75,5.234642724743737e-14,2.2234416363218846e-14,0.5752448155034815,2.3542973376189513,1250,True,0.00046641800444425087,3.078929846216938e-05,0.00017776209436241695
phi032_b12,271,"(24, 24, 24)",0.32,1.2,0.32002314814814814,0.32002314814814814,0.32002314814814814,9,11,2.3076129845255338e-14,2.7192548064999542e-14,0.1513803785472604,0.8486196214527396,1800,True,0.00023879030976250358,3.825042829658643e-05,0.00022083894677285792
phi032_b14,305,"(24, 24, 24)",0.32,1.4,0.32002314814814814,0.31857638888888895,0.31857638888888895,32,78,5.1382113114968414e-14,3.1941408999513253e-14,0.3783554808646392,1.6086363978417926,950,True,0.0001752733150275352,3.820853669966823e-05,0.00022059708552962386
phi032_b15,322,"(24, 24, 24)",0.32,1.5,0.32002314814814814,0.3192997685185186,0.3192997685185186,15,30,6.37065277696764e-14,2.6924582494449722e-14,0.57736540607279,2.3661101442449097,1200,True,7.96240145083518e-06,2.5579306377437682e-05,0.00014768219157634135
phi036_b12,441,"(24, 24, 24)",0.36,1.2,0.3600260416666667,0.36002604166666663,0.36002604166666663,16,41,4.851124473414802e-14,4.38593406024989e-14,0.09589331622271396,1.106064160284801,1550,True,0.00010938468520794675,2.994231748002903e-05,0.0001728720474698124
phi036_b14,475,"(24, 24, 24)",0.36,1.4,0.3600260416666667,0.3600260416666667,0.3600260416666667,7,9,4.214172920213585e-14,3.7209253178776406e-14,0.11704493661616182,1.1325604682163537,850,True,0.00011217994269775141,2.8124474724454212e-05,0.0001623767276154295
phi036_b15,492,"(24, 24, 24)",0.36,1.5,0.3600260416666667,0.3600260416666667,0.3600260416666667,7,13,3.5171472397191545e-14,3.8184579217301257e-14,0.07890899629828806,0.9210910037017119,1350,True,8.257168138316801e-05,3.35908055084594e-05,0.00019393660254523487
phi040_b12,611,"(24, 24, 24)",0.4,1.2,0.4000289351851852,0.40002893518518523,0.40002893518518523,25,65,1.5606252460385923e-13,5.025045528994681e-14,0.678010749745976,3.105693743536715,800,True,0.00033627110857321093,3.0490354509892417e-05,0.0001760361406801976
phi040_b14,645,"(24, 24, 24)",0.4,1.4,0.4000289351851852,0.40002893518518523,0.40002893518518523,11,26,3.442536137657579e-14,5.2759025618950357e-14,0.3474981584153698,0.6525018415846302,1150,True,0.0002265895578792288,2.790001355473737e-05,0.00016108080047110273
phi040_b15,662,"(24, 24, 24)",0.4,1.5,0.4000289351851852,0.40046296296296297,0.40046296296296297,19,48,8.599310533461969e-14,4.62345104899494e-14,0.4623463089274437,1.859933292757866,850,True,0.00025178049146486626,2.398808404558435e-05,0.00013849526532486978
phi044_b12,781,"(24, 24, 24)",0.44,1.2,0.4400318287037037,0.44046585648148157,0.44046585648148157,35,103,1.7993708758574365e-13,6.221119103600841e-14,0.6542614317553433,2.892358827877036,1500,True,0.0003968580639361585,2.2525690928230182e-05,0.0001300521348767542
phi044_b14,815,"(24, 24, 24)",0.44,1.4,0.4400318287037037,0.4382957175925926,0.4382957175925926,27,75,2.1428017463777542e-13,6.438503802731454e-14,0.6995287215154056,3.328105118876683,800,True,0.00012536383779647504,2.3248525233971728e-05,0.00013422542061184486
phi044_b15,832,"(24, 24, 24)",0.44,1.5,0.4400318287037037,0.4400318287037037,0.4400318287037037,22,55,9.73132798650859e-15,6.775222276577211e-14,0.8563688748611097,0.14363112513889037,1150,True,0.0003304688756713542,2.2131143600443435e-05,0.00012777421485858157
