backend,backend_label,metric,value,units
porespy,PoreSpy snow2,Np,2359.0,count
porespy,PoreSpy snow2,Nt,4143.0,count
porespy,PoreSpy snow2,Mean coordination,3.512505298855447,-
porespy,PoreSpy snow2,Max coordination,25.0,-
porespy,PoreSpy snow2,Mean pore size (diameter_equivalent),27.721052095507428,um
porespy,PoreSpy snow2,Median pore size (diameter_equivalent),23.70100624528279,um
porespy,PoreSpy snow2,Mean throat size (diameter_equivalent),20.291968092565206,um
porespy,PoreSpy snow2,Median throat size (diameter_equivalent),16.64837329574682,um
porespy,PoreSpy snow2,Connected components,1.0,count
porespy,PoreSpy snow2,Giant component fraction,1.0,-
porespy,PoreSpy snow2,Dead-end pore fraction,0.32047477744807124,-
prego,PREGO,Np,1373.0,count
prego,PREGO,Nt,3235.0,count
prego,PREGO,Mean coordination,4.712308812818645,-
prego,PREGO,Max coordination,20.0,-
prego,PREGO,Mean pore size (diameter_equivalent),38.134731020007294,um
prego,PREGO,Median pore size (diameter_equivalent),33.995562067430164,um
prego,PREGO,Mean throat size (diameter_equivalent),21.08856341976662,um
prego,PREGO,Median throat size (diameter_equivalent),17.771971881754325,um
prego,PREGO,Connected components,1.0,count
prego,PREGO,Giant component fraction,1.0,-
prego,PREGO,Dead-end pore fraction,0.07720320466132556,-
native_maximal_ball,Native maximal-ball,Np,998.0,count
native_maximal_ball,Native maximal-ball,Nt,1773.0,count
native_maximal_ball,Native maximal-ball,Mean coordination,3.55310621242485,-
native_maximal_ball,Native maximal-ball,Max coordination,18.0,-
native_maximal_ball,Native maximal-ball,Mean pore size (diameter_inscribed),22.095833657962675,um
native_maximal_ball,Native maximal-ball,Median pore size (diameter_inscribed),18.592910022900575,um
native_maximal_ball,Native maximal-ball,Mean throat size (diameter_inscribed),13.119573700074799,um
native_maximal_ball,Native maximal-ball,Median throat size (diameter_inscribed),11.25,um
native_maximal_ball,Native maximal-ball,Connected components,1.0,count
native_maximal_ball,Native maximal-ball,Giant component fraction,1.0,-
native_maximal_ball,Native maximal-ball,Dead-end pore fraction,0.20240480961923848,-
