backend,backend_label,metric,value,units
porespy,PoreSpy snow2,Np,3472.0,count
porespy,PoreSpy snow2,Nt,6026.0,count
porespy,PoreSpy snow2,Mean coordination,3.4711981566820276,-
porespy,PoreSpy snow2,Max coordination,20.0,-
porespy,PoreSpy snow2,Mean pore size (diameter_equivalent),25.527268487068422,um
porespy,PoreSpy snow2,Median pore size (diameter_equivalent),23.125604627819577,um
porespy,PoreSpy snow2,Mean throat size (diameter_equivalent),17.022091989148347,um
porespy,PoreSpy snow2,Median throat size (diameter_equivalent),15.233118755789421,um
porespy,PoreSpy snow2,Connected components,1.0,count
porespy,PoreSpy snow2,Giant component fraction,1.0,-
porespy,PoreSpy snow2,Dead-end pore fraction,0.2756336405529954,-
prego,PREGO,Np,2063.0,count
prego,PREGO,Nt,4679.0,count
prego,PREGO,Mean coordination,4.536112457586039,-
prego,PREGO,Max coordination,17.0,-
prego,PREGO,Mean pore size (diameter_equivalent),33.81929532154361,um
prego,PREGO,Median pore size (diameter_equivalent),31.668969317449267,um
prego,PREGO,Mean throat size (diameter_equivalent),17.408278163625383,um
prego,PREGO,Median throat size (diameter_equivalent),15.65054176117961,um
prego,PREGO,Connected components,1.0,count
prego,PREGO,Giant component fraction,1.0,-
prego,PREGO,Dead-end pore fraction,0.07513330101793504,-
native_maximal_ball,Native maximal-ball,Np,1717.0,count
native_maximal_ball,Native maximal-ball,Nt,3058.0,count
native_maximal_ball,Native maximal-ball,Mean coordination,3.5620267909143855,-
native_maximal_ball,Native maximal-ball,Max coordination,18.0,-
native_maximal_ball,Native maximal-ball,Mean pore size (diameter_inscribed),19.34514523327399,um
native_maximal_ball,Native maximal-ball,Median pore size (diameter_inscribed),17.87566578209177,um
native_maximal_ball,Native maximal-ball,Mean throat size (diameter_inscribed),10.916663494030528,um
native_maximal_ball,Native maximal-ball,Median throat size (diameter_inscribed),10.477921843528748,um
native_maximal_ball,Native maximal-ball,Connected components,1.0,count
native_maximal_ball,Native maximal-ball,Giant component fraction,1.0,-
native_maximal_ball,Native maximal-ball,Dead-end pore fraction,0.1956901572510192,-
