backend,backend_label,metric,value,units
porespy,PoreSpy snow2,Np,2904.0,count
porespy,PoreSpy snow2,Nt,4673.0,count
porespy,PoreSpy snow2,Mean coordination,3.21831955922865,-
porespy,PoreSpy snow2,Max coordination,28.0,-
porespy,PoreSpy snow2,Mean pore size (diameter_equivalent),26.417465292540257,um
porespy,PoreSpy snow2,Median pore size (diameter_equivalent),23.46632740293519,um
porespy,PoreSpy snow2,Mean throat size (diameter_equivalent),18.69173878619139,um
porespy,PoreSpy snow2,Median throat size (diameter_equivalent),16.64837329574682,um
porespy,PoreSpy snow2,Connected components,1.0,count
porespy,PoreSpy snow2,Giant component fraction,1.0,-
porespy,PoreSpy snow2,Dead-end pore fraction,0.3116391184573003,-
prego,PREGO,Np,1704.0,count
prego,PREGO,Nt,3602.0,count
prego,PREGO,Mean coordination,4.227699530516432,-
prego,PREGO,Max coordination,22.0,-
prego,PREGO,Mean pore size (diameter_equivalent),35.58201273744385,um
prego,PREGO,Median pore size (diameter_equivalent),33.90118072379598,um
prego,PREGO,Mean throat size (diameter_equivalent),19.07156776422881,um
prego,PREGO,Median throat size (diameter_equivalent),17.219339678983076,um
prego,PREGO,Connected components,1.0,count
prego,PREGO,Giant component fraction,1.0,-
prego,PREGO,Dead-end pore fraction,0.0903755868544601,-
native_maximal_ball,Native maximal-ball,Np,1394.0,count
native_maximal_ball,Native maximal-ball,Nt,2247.0,count
native_maximal_ball,Native maximal-ball,Mean coordination,3.2238163558106168,-
native_maximal_ball,Native maximal-ball,Max coordination,26.0,-
native_maximal_ball,Native maximal-ball,Mean pore size (diameter_inscribed),20.37896275812381,um
native_maximal_ball,Native maximal-ball,Median pore size (diameter_inscribed),18.7716307124901,um
native_maximal_ball,Native maximal-ball,Mean throat size (diameter_inscribed),11.991576951707861,um
native_maximal_ball,Native maximal-ball,Median throat size (diameter_inscribed),11.25,um
native_maximal_ball,Native maximal-ball,Connected components,1.0,count
native_maximal_ball,Native maximal-ball,Giant component fraction,1.0,-
native_maximal_ball,Native maximal-ball,Dead-end pore fraction,0.24318507890961263,-
