origin,porosity_pct,target_porosity_pct,abs_porosity_error_pct_points
"(0, 700, 0)",19.629792592592594,19.6485546,0.018762007407407966
"(350, 0, 700)",19.620344444444445,19.6485546,0.028210155555555283
"(700, 700, 700)",19.732055555555554,19.6485546,0.08350095555555437
"(700, 700, 350)",19.748318518518516,19.6485546,0.09976391851851674
"(0, 700, 350)",19.82332962962963,19.6485546,0.17477502962962854
"(700, 700, 0)",19.836885185185185,19.6485546,0.18833058518518409
"(0, 350, 0)",19.445118518518516,19.6485546,0.20343608148148395
"(700, 350, 700)",19.35251851851852,19.6485546,0.2960360814814822
"(700, 0, 700)",19.97278148148148,19.6485546,0.32422688148147916
"(0, 0, 350)",19.206403703703703,19.6485546,0.4421508962962978
"(350, 700, 0)",19.197318518518518,19.6485546,0.451236081481482
"(350, 350, 350)",19.176596296296296,19.6485546,0.47195830370370395
"(0, 700, 700)",20.12761111111111,19.6485546,0.4790565111111089
"(700, 0, 0)",19.148151851851853,19.6485546,0.5004027481481488
"(0, 0, 0)",20.159855555555556,19.6485546,0.5113009555555548
"(0, 0, 700)",20.186625925925927,19.6485546,0.5380713259259262
"(350, 700, 350)",18.9754,19.6485546,0.6731546000000005
"(350, 350, 700)",20.54608888888889,19.6485546,0.8975342888888876
"(700, 0, 350)",18.56564074074074,19.6485546,1.0829138592592602
"(350, 350, 0)",20.750788888888888,19.6485546,1.102234288888887
"(0, 350, 700)",20.991970370370368,19.6485546,1.3434157703703682
"(700, 350, 350)",21.09272962962963,19.6485546,1.4441750296296296
"(700, 350, 0)",21.712048148148146,19.6485546,2.063493548148146
"(350, 0, 0)",17.274822222222223,19.6485546,2.3737323777777792
"(350, 700, 700)",22.526662962962963,19.6485546,2.878108362962961
"(350, 0, 350)",16.524207407407406,19.6485546,3.124347192592594
"(0, 350, 350)",23.820485185185188,19.6485546,4.171930585185185
