backend,backend_label,metric,value,units
porespy,PoreSpy snow2,Np,5205.0,count
porespy,PoreSpy snow2,Nt,8207.0,count
porespy,PoreSpy snow2,Mean coordination,3.1535062439961576,-
porespy,PoreSpy snow2,Max coordination,22.0,-
porespy,PoreSpy snow2,Mean pore size (diameter_equivalent),23.51852795858787,um
porespy,PoreSpy snow2,Median pore size (diameter_equivalent),22.037957689454796,um
porespy,PoreSpy snow2,Mean throat size (diameter_equivalent),14.8134736088856,um
porespy,PoreSpy snow2,Median throat size (diameter_equivalent),13.434347973244154,um
porespy,PoreSpy snow2,Connected components,1.0,count
porespy,PoreSpy snow2,Giant component fraction,1.0,-
porespy,PoreSpy snow2,Dead-end pore fraction,0.2764649375600384,-
prego,PREGO,Np,3304.0,count
prego,PREGO,Nt,6623.0,count
prego,PREGO,Mean coordination,4.0090799031477,-
prego,PREGO,Max coordination,17.0,-
prego,PREGO,Mean pore size (diameter_equivalent),29.911453290156352,um
prego,PREGO,Median pore size (diameter_equivalent),28.283127008363568,um
prego,PREGO,Mean throat size (diameter_equivalent),15.123882701550887,um
prego,PREGO,Median throat size (diameter_equivalent),13.905871272834826,um
prego,PREGO,Connected components,1.0,count
prego,PREGO,Giant component fraction,1.0,-
prego,PREGO,Dead-end pore fraction,0.09776029055690072,-
native_maximal_ball,Native maximal-ball,Np,2928.0,count
native_maximal_ball,Native maximal-ball,Nt,4876.0,count
native_maximal_ball,Native maximal-ball,Mean coordination,3.330601092896175,-
native_maximal_ball,Native maximal-ball,Max coordination,25.0,-
native_maximal_ball,Native maximal-ball,Mean pore size (diameter_inscribed),17.472788649635085,um
native_maximal_ball,Native maximal-ball,Median pore size (diameter_inscribed),16.698601094772638,um
native_maximal_ball,Native maximal-ball,Mean throat size (diameter_inscribed),9.359090164169476,um
native_maximal_ball,Native maximal-ball,Median throat size (diameter_inscribed),8.292505145072937,um
native_maximal_ball,Native maximal-ball,Connected components,1.0,count
native_maximal_ball,Native maximal-ball,Giant component fraction,1.0,-
native_maximal_ball,Native maximal-ball,Dead-end pore fraction,0.21004098360655737,-
