backend,backend_label,property,estimated,units,experimental,abs_error,rel_error_pct
image,Binary image,Porosity (image full volume),26.718859600000002,%,22.64,4.078859600000001,18.016164310954068
porespy,PoreSpy snow2,Porosity (network absolute),27.56616296296296,%,22.64,4.926162962962959,21.758670331108476
porespy,PoreSpy snow2,Porosity (network effective),27.56616296296296,%,,,
porespy,PoreSpy snow2,Absolute permeability Kx,426.81731475832316,mD,386.0,40.817314758323164,10.574433875213256
porespy,PoreSpy snow2,Absolute permeability Ky,536.3896480492024,mD,386.0,150.38964804920238,38.96104871740994
porespy,PoreSpy snow2,Absolute permeability Kz,543.8496274886706,mD,386.0,157.84962748867065,40.89368587789395
porespy,PoreSpy snow2,"Absolute permeability arithmetic mean(Kx,Ky,Kz)",502.35219676539873,mD,386.0,116.35219676539873,30.143056156839048
porespy,PoreSpy snow2,Absolute permeability quadratic mean(sqrt(mean(K^2))),505.19279885057034,mD,386.0,119.19279885057034,30.878963432790243
prego,PREGO,Porosity (network absolute),26.526674074074073,%,22.64,3.8866740740740724,17.167288313048022
prego,PREGO,Porosity (network effective),26.526674074074073,%,,,
prego,PREGO,Absolute permeability Kx,819.674651759494,mD,386.0,433.67465175949405,112.3509460516824
prego,PREGO,Absolute permeability Ky,971.0651057047052,mD,386.0,585.0651057047052,151.5712709079547
prego,PREGO,Absolute permeability Kz,963.4088357261935,mD,386.0,577.4088357261935,149.58778127621594
prego,PREGO,"Absolute permeability arithmetic mean(Kx,Ky,Kz)",918.0495310634642,mD,386.0,532.0495310634642,137.83666607861767
prego,PREGO,Absolute permeability quadratic mean(sqrt(mean(K^2))),920.6864393863304,mD,386.0,534.6864393863304,138.51980294982656
native_maximal_ball,Native maximal-ball,Porosity (network absolute),26.526674074074073,%,22.64,3.8866740740740724,17.167288313048022
native_maximal_ball,Native maximal-ball,Porosity (network effective),26.526674074074073,%,,,
native_maximal_ball,Native maximal-ball,Absolute permeability Kx,218.22480325695173,mD,386.0,-167.77519674304827,-43.46507687643737
native_maximal_ball,Native maximal-ball,Absolute permeability Ky,315.4286886793969,mD,386.0,-70.57131132060312,-18.28272314005262
native_maximal_ball,Native maximal-ball,Absolute permeability Kz,330.6626562600897,mD,386.0,-55.337343739910295,-14.336099414484531
native_maximal_ball,Native maximal-ball,"Absolute permeability arithmetic mean(Kx,Ky,Kz)",288.1053827321461,mD,386.0,-97.8946172678539,-25.361299810324844
native_maximal_ball,Native maximal-ball,Absolute permeability quadratic mean(sqrt(mean(K^2))),292.3782451115435,mD,386.0,-93.62175488845651,-24.254340644677853
