backend,backend_label,conductance_model,k_mean_mD,k_mean_m2,k_rms_mD,k_rms_m2,axis_count,aggregate_kabs_mD,aggregate_kabs_m2
native_maximal_ball,Native maximal-ball,auto,3513.584582552919,3.467638491042249e-12,3558.177304381159,3.511648087224958e-12,3.0,3558.177304381159,3.511648087224958e-12
native_maximal_ball,Native maximal-ball,generic_poiseuille,288.1053827321461,2.8433791507377266e-13,292.3782451115435,2.885549025136934e-13,3.0,292.3782451115435,2.885549025136934e-13
native_maximal_ball,Native maximal-ball,hagen_poiseuille,12015.231359892327,1.1858111783968421e-11,12167.393406611594,1.2008284053251358e-11,3.0,12167.393406611594,1.2008284053251358e-11
native_maximal_ball,Native maximal-ball,valvatne_blunt,3513.584582552919,3.467638491042249e-12,3558.177304381159,3.511648087224958e-12,3.0,3558.177304381159,3.511648087224958e-12
porespy,PoreSpy snow2,auto,742.2284388972254,7.325225402702981e-13,743.383847865299,7.336628403019189e-13,3.0,743.383847865299,7.336628403019189e-13
porespy,PoreSpy snow2,generic_poiseuille,463.5199557729383,4.574586443672824e-13,465.1050816519002,4.590230420306629e-13,3.0,465.1050816519002,4.590230420306629e-13
porespy,PoreSpy snow2,hagen_poiseuille,1943.7360746358645,1.918318421108674e-12,1951.708333303927,1.9261864289418115e-12,3.0,1951.708333303927,1.9261864289418115e-12
porespy,PoreSpy snow2,valvatne_blunt,1278.926765716056,1.2622026240788172e-12,1283.6370390487396,1.266851302580211e-12,3.0,1283.6370390487396,1.266851302580211e-12
prego,PREGO,auto,1426.6466549789586,1.4079908246657956e-12,1431.7316767016932,1.4130093510849684e-12,3.0,1431.7316767016932,1.4130093510849684e-12
prego,PREGO,generic_poiseuille,875.2227802596127,8.63777754528992e-13,877.8441702803166,8.66364865418812e-13,3.0,877.8441702803166,8.66364865418812e-13
prego,PREGO,hagen_poiseuille,2000.741282566921,1.9745781890371783e-12,2009.7363604832815,1.9834556410181502e-12,3.0,2009.7363604832815,1.9834556410181502e-12
prego,PREGO,valvatne_blunt,1556.1325938635885,1.5357835147734126e-12,1562.903925656309,1.542466299891679e-12,3.0,1562.903925656309,1.542466299891679e-12
