backend,backend_label,metric,value,units
porespy,PoreSpy snow2,Np,2831.0,count
porespy,PoreSpy snow2,Nt,4770.0,count
porespy,PoreSpy snow2,Mean coordination,3.369833980925468,-
porespy,PoreSpy snow2,Max coordination,27.0,-
porespy,PoreSpy snow2,Mean pore size (diameter_equivalent),27.675359991102944,um
porespy,PoreSpy snow2,Median pore size (diameter_equivalent),23.70100624528279,um
porespy,PoreSpy snow2,Mean throat size (diameter_equivalent),19.697508416372802,um
porespy,PoreSpy snow2,Median throat size (diameter_equivalent),16.45364878072077,um
porespy,PoreSpy snow2,Connected components,1.0,count
porespy,PoreSpy snow2,Giant component fraction,1.0,-
porespy,PoreSpy snow2,Dead-end pore fraction,0.3051925114800424,-
prego,PREGO,Np,1644.0,count
prego,PREGO,Nt,3801.0,count
prego,PREGO,Mean coordination,4.624087591240876,-
prego,PREGO,Max coordination,23.0,-
prego,PREGO,Mean pore size (diameter_equivalent),37.813582931916244,um
prego,PREGO,Median pore size (diameter_equivalent),35.12471065561416,um
prego,PREGO,Mean throat size (diameter_equivalent),19.908262134109403,um
prego,PREGO,Median throat size (diameter_equivalent),17.40550011276386,um
prego,PREGO,Connected components,1.0,count
prego,PREGO,Giant component fraction,1.0,-
prego,PREGO,Dead-end pore fraction,0.07846715328467153,-
native_maximal_ball,Native maximal-ball,Np,1318.0,count
native_maximal_ball,Native maximal-ball,Nt,2377.0,count
native_maximal_ball,Native maximal-ball,Mean coordination,3.606980273141123,-
native_maximal_ball,Native maximal-ball,Max coordination,29.0,-
native_maximal_ball,Native maximal-ball,Mean pore size (diameter_inscribed),21.014757951479133,um
native_maximal_ball,Native maximal-ball,Median pore size (diameter_inscribed),17.55566620385057,um
native_maximal_ball,Native maximal-ball,Mean throat size (diameter_inscribed),11.960045101874513,um
native_maximal_ball,Native maximal-ball,Median throat size (diameter_inscribed),10.477921843528748,um
native_maximal_ball,Native maximal-ball,Connected components,1.0,count
native_maximal_ball,Native maximal-ball,Giant component fraction,1.0,-
native_maximal_ball,Native maximal-ball,Dead-end pore fraction,0.22078907435508346,-
