backend,backend_label,property,estimated,units,experimental,abs_error,rel_error_pct
image,Binary image,Porosity (image full volume),19.503383799999995,%,20.22,-0.7166162000000043,-3.5440959446093188
porespy,PoreSpy snow2,Porosity (network absolute),20.005618518518517,%,20.22,-0.21438148148148173,-1.0602447155365071
porespy,PoreSpy snow2,Porosity (network effective),20.005618518518517,%,,,
porespy,PoreSpy snow2,Absolute permeability Kx,475.07989782446356,mD,327.0,148.07989782446356,45.284372423383346
porespy,PoreSpy snow2,Absolute permeability Ky,259.6091927754765,mD,327.0,-67.39080722452348,-20.608809548783942
porespy,PoreSpy snow2,Absolute permeability Kz,131.54666515820927,mD,327.0,-195.45333484179073,-59.77166203112867
porespy,PoreSpy snow2,"Absolute permeability arithmetic mean(Kx,Ky,Kz)",288.7452519193831,mD,327.0,-38.25474808061688,-11.698699718843082
porespy,PoreSpy snow2,Absolute permeability quadratic mean(sqrt(mean(K^2))),321.6635754970728,mD,327.0,-5.336424502927173,-1.631934098754487
prego,PREGO,Porosity (network absolute),19.295240740740734,%,20.22,-0.9247592592592646,-4.573487929076482
prego,PREGO,Porosity (network effective),19.295240740740734,%,,,
prego,PREGO,Absolute permeability Kx,757.9806768417985,mD,327.0,430.9806768417985,131.79837212287418
prego,PREGO,Absolute permeability Ky,555.6213803696859,mD,327.0,228.62138036968588,69.91479522008743
prego,PREGO,Absolute permeability Kz,355.88148352257383,mD,327.0,28.88148352257383,8.832257957973649
prego,PREGO,"Absolute permeability arithmetic mean(Kx,Ky,Kz)",556.4945135780195,mD,327.0,229.49451357801945,70.1818084336451
prego,PREGO,Absolute permeability quadratic mean(sqrt(mean(K^2))),580.2015325452855,mD,327.0,253.20153254528554,77.4316613288335
native_maximal_ball,Native maximal-ball,Porosity (network absolute),19.29524074074074,%,20.22,-0.9247592592592575,-4.573487929076447
native_maximal_ball,Native maximal-ball,Porosity (network effective),19.29524074074074,%,,,
native_maximal_ball,Native maximal-ball,Absolute permeability Kx,331.38412189599757,mD,327.0,4.384121895997566,1.3407100599380937
native_maximal_ball,Native maximal-ball,Absolute permeability Ky,174.040224655977,mD,327.0,-152.959775344023,-46.776689707652295
native_maximal_ball,Native maximal-ball,Absolute permeability Kz,74.77917960121913,mD,327.0,-252.22082039878086,-77.13174935742533
native_maximal_ball,Native maximal-ball,"Absolute permeability arithmetic mean(Kx,Ky,Kz)",193.4011753843979,mD,327.0,-133.5988246156021,-40.855909668379844
native_maximal_ball,Native maximal-ball,Absolute permeability quadratic mean(sqrt(mean(K^2))),220.37646709280287,mD,327.0,-106.62353290719713,-32.60658498691044
