formulation,axis,slice_direction,coordinate_m,x_m,y_m,u_parallel_m_s,u_tangential_m_s,u_x_m_s,u_y_m_s
brinkman_usfem_pkpk_k1,x,flux,5.215e-06,5.215e-06,0.00036505,3.844091456734857e-09,8.8987830323101e-09,3.844091456734857e-09,8.8987830323101e-09
brinkman_usfem_pkpk_k1,x,flux,7.6139e-06,7.6139e-06,0.00036505,9.337190875926347e-09,1.370671740303033e-08,9.337190875926347e-09,1.370671740303033e-08
brinkman_usfem_pkpk_k1,x,flux,1.00128e-05,1.00128e-05,0.00036505,1.4830290295117835e-08,1.8514651773750564e-08,1.4830290295117835e-08,1.8514651773750564e-08
brinkman_usfem_pkpk_k1,x,flux,1.24117e-05,1.24117e-05,0.00036505,3.425405707930214e-07,2.460451609704044e-07,3.425405707930214e-07,2.460451609704044e-07
brinkman_usfem_pkpk_k1,x,flux,1.48106e-05,1.48106e-05,0.00036505,7.380860473074961e-07,5.204646332883074e-07,7.380860473074961e-07,5.204646332883074e-07
brinkman_usfem_pkpk_k1,x,flux,1.72095e-05,1.72095e-05,0.00036505,1.1336315238219704e-06,7.948841056062103e-07,1.1336315238219704e-06,7.948841056062103e-07
brinkman_usfem_pkpk_k1,x,flux,1.96084e-05,1.96084e-05,0.00036505,1.5291770003364452e-06,1.0693035779241134e-06,1.5291770003364452e-06,1.0693035779241134e-06
brinkman_usfem_pkpk_k1,x,flux,2.20073e-05,2.20073e-05,0.00036505,1.928468735771751e-06,1.2343700510813254e-06,1.928468735771751e-06,1.2343700510813254e-06
brinkman_usfem_pkpk_k1,x,flux,2.44062e-05,2.44062e-05,0.00036505,2.331847299120691e-06,1.2801423433359655e-06,2.331847299120691e-06,1.2801423433359655e-06
brinkman_usfem_pkpk_k1,x,flux,2.6805100000000002e-05,2.6805100000000002e-05,0.00036505,2.7352258624696316e-06,1.3259146355906055e-06,2.7352258624696316e-06,1.3259146355906055e-06
brinkman_usfem_pkpk_k1,x,flux,2.9204e-05,2.9204e-05,0.00036505,3.1386044258185715e-06,1.3716869278452453e-06,3.1386044258185715e-06,1.3716869278452453e-06
brinkman_usfem_pkpk_k1,x,flux,3.1602899999999995e-05,3.1602899999999995e-05,0.00036505,3.4990765853135976e-06,1.4146680908276787e-06,3.4990765853135976e-06,1.4146680908276787e-06
brinkman_usfem_pkpk_k1,x,flux,3.4001800000000004e-05,3.4001800000000004e-05,0.00036505,3.573506052449205e-06,1.4390417253287358e-06,3.573506052449205e-06,1.4390417253287358e-06
brinkman_usfem_pkpk_k1,x,flux,3.64007e-05,3.64007e-05,0.00036505,3.6479355195848115e-06,1.4634153598297926e-06,3.6479355195848115e-06,1.4634153598297926e-06
brinkman_usfem_pkpk_k1,x,flux,3.8799599999999994e-05,3.8799599999999994e-05,0.00036505,3.7223649867204176e-06,1.4877889943308494e-06,3.7223649867204176e-06,1.4877889943308494e-06
brinkman_usfem_pkpk_k1,x,flux,4.11985e-05,4.11985e-05,0.00036505,3.7967944538560245e-06,1.5121626288319065e-06,3.7967944538560245e-06,1.5121626288319065e-06
brinkman_usfem_pkpk_k1,x,flux,4.35974e-05,4.35974e-05,0.00036505,3.803324980603623e-06,1.53699284620958e-06,3.803324980603623e-06,1.53699284620958e-06
brinkman_usfem_pkpk_k1,x,flux,4.5996300000000005e-05,4.5996300000000005e-05,0.00036505,3.790994690576775e-06,1.5619498921640916e-06,3.790994690576775e-06,1.5619498921640916e-06
brinkman_usfem_pkpk_k1,x,flux,4.83952e-05,4.83952e-05,0.00036505,3.7786644005499264e-06,1.586906938118603e-06,3.7786644005499264e-06,1.586906938118603e-06
brinkman_usfem_pkpk_k1,x,flux,5.0794099999999995e-05,5.0794099999999995e-05,0.00036505,3.766334110523078e-06,1.6118639840731146e-06,3.766334110523078e-06,1.6118639840731146e-06
brinkman_usfem_pkpk_k1,x,flux,5.3193000000000004e-05,5.3193000000000004e-05,0.00036505,3.7448480847952323e-06,1.6492545506039126e-06,3.7448480847952323e-06,1.6492545506039126e-06
brinkman_usfem_pkpk_k1,x,flux,5.55919e-05,5.55919e-05,0.00036505,3.711459602656088e-06,1.7028086938838832e-06,3.711459602656088e-06,1.7028086938838832e-06
brinkman_usfem_pkpk_k1,x,flux,5.7990799999999994e-05,5.7990799999999994e-05,0.00036505,3.678071120516944e-06,1.7563628371638537e-06,3.678071120516944e-06,1.7563628371638537e-06
brinkman_usfem_pkpk_k1,x,flux,6.03897e-05,6.03897e-05,0.00036505,3.6446826383778e-06,1.8099169804438245e-06,3.6446826383778e-06,1.8099169804438245e-06
brinkman_usfem_pkpk_k1,x,flux,6.27886e-05,6.27886e-05,0.00036505,3.6114194886085875e-06,1.863403325951609e-06,3.6114194886085875e-06,1.863403325951609e-06
brinkman_usfem_pkpk_k1,x,flux,6.51875e-05,6.51875e-05,0.00036505,3.579472328723662e-06,1.9161777948514397e-06,3.579472328723662e-06,1.9161777948514397e-06
brinkman_usfem_pkpk_k1,x,flux,6.75864e-05,6.75864e-05,0.00036505,3.5475251688387356e-06,1.96895226375127e-06,3.5475251688387356e-06,1.96895226375127e-06
brinkman_usfem_pkpk_k1,x,flux,6.99853e-05,6.99853e-05,0.00036505,3.5155780089538096e-06,2.0217267326511003e-06,3.5155780089538096e-06,2.0217267326511003e-06
brinkman_usfem_pkpk_k1,x,flux,7.238419999999999e-05,7.238419999999999e-05,0.00036505,3.4836308490688837e-06,2.0745012015509308e-06,3.4836308490688837e-06,2.0745012015509308e-06
brinkman_usfem_pkpk_k1,x,flux,7.47831e-05,7.47831e-05,0.00036505,3.4551367659934574e-06,2.1241873532388808e-06,3.4551367659934574e-06,2.1241873532388808e-06
brinkman_usfem_pkpk_k1,x,flux,7.7182e-05,7.7182e-05,0.00036505,3.4278614159096195e-06,2.172783510616755e-06,3.4278614159096195e-06,2.172783510616755e-06
